Date,Close,High,Low,Open,Volume,Stock
01-04-2024,745.7932739,748.940508,739.6955191,746.5309041,9949971,SBIN.NS
02-04-2024,753.7597046,756.0709218,740.9248917,745.6949361,15713063,SBIN.NS
03-04-2024,758.3330078,759.8574316,747.6128183,752.2844762,19136981,SBIN.NS
04-04-2024,746.7767944,762.5129052,745.5965741,762.2178651,15889530,SBIN.NS
05-04-2024,752.1369019,755.0382592,740.187269,745.4490669,9939620,SBIN.NS
08-04-2024,755.6283569,757.3003307,749.2355619,753.4154664,9797174,SBIN.NS
09-04-2024,751.5960083,759.7099405,748.5471008,755.7759128,7465892,SBIN.NS
10-04-2024,766.2010498,767.8238602,751.0550793,753.85805,14530669,SBIN.NS
12-04-2024,753.6613159,766.6436188,752.1860556,764.4307283,14408722,SBIN.NS
15-04-2024,745.0064697,750.7107977,736.4007844,747.2685236,11356572,SBIN.NS
16-04-2024,739.3021851,742.4494193,732.1225963,738.8595949,13338991,SBIN.NS
18-04-2024,732.5159302,747.4160838,729.7621228,739.6463552,14589648,SBIN.NS
19-04-2024,738.0727539,739.5971776,719.9762032,722.3858071,10886554,SBIN.NS
22-04-2024,753.4645996,756.3167936,738.0727529,741.7117404,17452186,SBIN.NS
23-04-2024,760.2508545,764.8733491,752.9237159,757.6445371,12292429,SBIN.NS
24-04-2024,760.3491821,765.6601436,757.4970481,765.6601436,7842615,SBIN.NS
25-04-2024,799.2960815,800.9680553,756.9561209,757.9396278,36732974,SBIN.NS
26-04-2024,788.0841064,803.4268509,785.7237258,802.4433439,14964358,SBIN.NS
29-04-2024,812.8684692,817.5401271,785.5269889,793.6900843,27302732,SBIN.NS
30-04-2024,812.6226196,821.0807554,806.3773745,812.8684964,27449073,SBIN.NS
02-05-2024,816.3599243,820.1464621,811.3932263,813.2619135,19943724,SBIN.NS
03-05-2024,817.7368164,822.4084741,806.4756505,821.0315405,22667634,SBIN.NS
06-05-2024,794.4768677,822.2117745,789.7560465,821.2282676,35283557,SBIN.NS
07-05-2024,788.6741943,801.2139071,780.1176724,798.6075899,16725013,SBIN.NS
08-05-2024,797.4273682,808.4426573,786.3137524,789.3625997,27908322,SBIN.NS
09-05-2024,806.2789307,825.8015783,790.2969438,798.5092623,49290254,SBIN.NS
10-05-2024,803.8693848,818.326949,802.1482476,813.3602509,20543142,SBIN.NS
13-05-2024,795.4603882,806.3281277,785.4286056,806.3281277,15398505,SBIN.NS
14-05-2024,804.7053833,808.8361244,794.5752739,799.5911353,10912462,SBIN.NS
15-05-2024,806.7706909,811.6882254,804.5578004,807.4591577,9755062,SBIN.NS
16-05-2024,798.5584717,812.5242822,784.1992343,811.6882653,20536990,SBIN.NS
17-05-2024,804.361084,808.8852517,797.8207992,801.0663599,12492509,SBIN.NS
21-05-2024,816.9500732,822.5068515,806.0822734,807.4592071,14037801,SBIN.NS
22-05-2024,818.75,826.6500244,813.5499878,826.5499878,19239277,SBIN.NS
23-05-2024,832.0999756,835.5,822,824.7000122,17497488,SBIN.NS
24-05-2024,828.5999756,841.25,827,830,12252075,SBIN.NS
27-05-2024,833.7000122,839.4000244,823,832.5999756,12295193,SBIN.NS
28-05-2024,831.1500244,840.7000122,823.2999878,835.7000122,13818893,SBIN.NS
29-05-2024,822.6500244,834.4500122,819.2999878,828.4000244,14518232,SBIN.NS
30-05-2024,825.8499756,836,819.2999878,821.4000244,17818705,SBIN.NS
31-05-2024,830.3499756,835,817.0999756,830.7000122,22267336,SBIN.NS
03-06-2024,905.6500244,912,856.75,863.5499878,64269020,SBIN.NS
04-06-2024,775.2000122,897,731.9500122,897,122381193,SBIN.NS
05-06-2024,789.75,795,744.0499878,790.75,74256082,SBIN.NS
06-06-2024,816.9500122,833.3499756,796,800,40555649,SBIN.NS
07-06-2024,829.9500122,831.5,810.5,819.9000244,25061284,SBIN.NS
